match_importance,is_neutral,same_confederation,home_continent_advantage,elo_diff,elo_momentum_diff,rank_diff,points_diff,squad_value_total_delta,squad_value_top11_delta,squad_value_attack_delta,squad_value_mid_delta,squad_value_def_delta,star_player_value_delta,squad_depth_delta,home_days_rest,away_days_rest,form_win_rate_diff,form_weighted_diff,goal_diff_delta,h2h_home_win_rate,h2h_draw_rate,h2h_matches_played,tournament_wr_delta,wc_appearances_diff,wc_knockout_rate_diff,wc_best_finish_diff,wc_goals_per_game_diff,injury_count_delta,injury_burden_delta,star_injury_flag
0.3,1,1,0,-106.74384718684952,-15.848816201147656,38.0,-118.0,,,,,,,,2.0,3.0,-0.2,-0.0401285163,-2.0,0.15,0.3,20,-0.2112375533428164,-6,-0.1666666666666666,-2,-0.7368421052631579,0,0.0,0
0.2,0,1,0,-45.601774254595966,-44.028135348394926,59.0,-246.0,,,,,,,,6.0,6.0,0.0,0.0589016545,0.7,0.2857142857142857,0.2857142857142857,7,-0.038159111933395,0,0.0,0,0.0,0,0.0,0
0.3,0,1,0,265.0088146949968,-31.05662191926831,-84.0,216.0,,,,,,,,3.0,2.0,0.3,0.02874752127,1.4,0.75,0.25,4,0.5822784810126582,1,0.0,1,0.6666666666666666,0,0.0,0
0.3,1,1,0,70.86620216804272,28.240004059098737,-2.0,4.0,,,,,,,,3.0,2.0,0.1999999999999999,0.0443935593299999,1.0,0.2608695652173913,0.3043478260869565,23,-0.2545454545454545,0,0.0,0,0.0,0,0.0,0
0.3,1,1,0,-52.084813742688766,-31.552113884165237,10.0,-18.0,,,,,,,,3.0,5.0,0.2,0.01804778427,0.3999999999999999,0.2727272727272727,0.2272727272727272,22,-0.038141239173884,0,0.0,0,0.3333333333333333,0,0.0,0
0.3,0,1,0,-79.49263450477451,-24.77334335353794,22.0,-89.0,,,,,,,,3.0,3.0,-0.2,-0.08115606,-2.0,0.3461538461538461,0.3076923076923077,26,0.0541666666666666,-5,-0.1666666666666666,-1,-0.0701754385964912,0,0.0,0
0.3,1,1,0,246.3308936500084,-0.792914275392377,-67.0,183.0,,,,,,,,2.0,4.0,0.0999999999999999,0.0481813233,1.7999999999999998,1.0,0.0,1,0.3625,1,0.0,1,0.3333333333333333,0,0.0,0
0.3,1,1,0,-70.63543091790393,-23.93804214403326,36.0,-114.0,,,,,,,,3.0,2.0,0.0,-0.0136291884,-0.1,0.0,0.0,12,-0.4699777613046701,-6,-0.1666666666666666,-2,-0.7368421052631579,0,0.0,0
0.3,1,1,0,-49.37073706888077,-15.123939183928996,11.0,-22.0,,,,,,,,4.0,4.0,-0.0999999999999999,-0.0092372549999999,-0.4000000000000001,0.4117647058823529,0.1764705882352941,17,0.0041625041625041,1,0.0,1,0.6666666666666666,0,0.0,0
0.3,1,1,0,-368.3035269883908,-27.82743106612952,106.0,-305.0,,,,,,,,3.0,2.0,-0.4999999999999999,-0.0965997719399999,-2.8,0.0,0.1428571428571428,7,-0.5324675324675324,-6,-0.1666666666666666,-2,-0.7368421052631579,0,0.0,0
0.3,0,1,0,22.06664099898944,-20.003193913751147,-17.0,33.0,,,,,,,,4.0,3.0,0.0999999999999999,-0.03841272303,-0.5,0.59375,0.15625,32,0.2098765432098766,0,0.0,0,0.3333333333333333,0,0.0,0
0.2,0,1,1,294.5971615063195,72.61882333103381,-77.0,209.0,,,,,,,,21.0,29.0,0.7,0.09972291,2.0,,,0,0.0863963622584312,3,0.0,2,0.7142857142857143,0,0.0,0
0.2,0,0,0,16.34108664674386,32.55273291311573,,,,,,,,,,50.0,176.0,0.0999999999999999,0.0344239632,-0.4,0.4,0.4,5,-0.2630414531904983,1,0.0,6,1.6666666666666667,0,0.0,0
0.3,0,1,0,1.171012320607133,-60.31782940040671,-16.0,29.0,,,,,,,,2.0,3.0,-0.1999999999999999,-0.0650970381,-0.8,0.6363636363636364,0.1818181818181818,22,0.2440568076566841,1,0.0,1,0.6666666666666666,0,0.0,0
0.3,0,1,0,-283.2823870448117,51.853293105015155,87.0,-238.0,,,,,,,,55.0,52.0,0.0,0.0540766571099999,-0.3,0.0,0.4285714285714285,7,-0.3,-4,0.0,-1,-1.0,0,0.0,0
0.2,0,1,0,112.65175053383176,-1.116714956120859,,,,,,,,,,448.0,414.0,0.4,0.05100126482,2.4000000000000004,0.2333333333333333,0.2666666666666666,30,-0.0131596262666139,0,0.0,0,0.0,0,0.0,0
0.2,0,1,0,41.90366044407415,65.4544571325132,-30.0,126.0,,,,,,,,10.0,424.0,0.0999999999999999,0.02872148483,-0.4000000000000001,0.4285714285714285,0.3571428571428571,14,-0.0203533026113671,0,0.0,0,0.0,0,0.0,0
0.3,1,1,0,7.8842021421048685,-46.97782294715489,-3.0,8.0,,,,,,,,5.0,3.0,0.0999999999999999,-0.02156166489,0.4,0.1578947368421052,0.1052631578947368,19,-0.3224932249322493,-1,0.0,-1,-0.3333333333333333,0,0.0,0
0.3,1,1,0,-183.80679478582377,2.254538727180943,57.0,-165.0,,,,,,,,3.0,4.0,-0.2,-0.03731822334,-0.8999999999999999,0.25,0.25,4,-0.3205128205128205,-1,0.0,-1,-0.6666666666666666,0,0.0,0
0.2,0,1,1,149.18605342084902,23.439322861826213,-22.0,85.0,,,,,,,,6.0,147.0,0.3,-0.01434974049,0.7999999999999998,0.5,0.1666666666666666,6,-0.0136554621848739,2,0.0,1,0.7142857142857143,0,0.0,0
0.2,0,1,1,265.0074333534101,-29.88968943430882,-78.0,196.0,,,,,,,,56.0,59.0,0.0,-0.11158413169,0.6,1.0,0.0,4,0.1657623440043407,6,0.0,1,0.7777777777777778,0,0.0,0
